# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-24 UTC;3936.00;3936.00;0.00;714304.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-24 UTC;178576.00;0.00;165808.00;0.00;59214.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-24 UTC;61183212;4170688;6.38;6500;2000200;2113248;3.23;1486852;1934752;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-24 UTC;-1;18.95;0.00;6.65;4.02;0.00;70.39
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-25 UTC;302.00;302.00;0.00;51024.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-25 UTC;12756.00;0.00;60768.00;0.00;130769.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-25 UTC;61447052;3906848;5.98;6540;2012620;1686984;2.58;1211136;1947372;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-25 UTC;-1;13.41;0.00;1.63;0.25;0.00;84.71
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-26 UTC;20.00;18.00;2.00;144.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-26 UTC;36.00;4.00;12422.00;0.00;39233.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-26 UTC;61548124;3805776;5.82;6660;2013152;1581044;2.42;1111032;1948424;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-26 UTC;-1;14.81;0.00;0.63;0.00;0.00;84.57
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-27 UTC;4095.00;4095.00;0.00;735936.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-27 UTC;183984.00;0.00;187001.00;0.00;48639.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-27 UTC;60808816;4545084;6.95;6996;2196460;2057820;3.15;1676436;2119064;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-27 UTC;-1;19.98;0.00;4.12;5.12;0.00;70.79
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-28 UTC;313.00;313.00;0.00;50496.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-28 UTC;12624.00;0.00;32484.00;0.00;168007.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-28 UTC;61336160;4017740;6.15;7108;2209376;1513164;2.32;1141172;2127892;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-28 UTC;-1;17.21;0.00;1.38;0.25;0.00;81.16
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-29 UTC;3859.00;3820.00;39.00;684624.00;400.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-29 UTC;171156.00;72.00;173573.00;0.00;54292.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-29 UTC;60682600;4671300;7.15;7460;2379980;1921552;2.94;1640404;2281476;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-29 UTC;-1;19.17;0.00;4.39;4.39;0.00;72.06
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-30 UTC;363.00;357.00;6.00;52336.00;336.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-30 UTC;13084.00;84.00;43457.00;0.00;135107.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-30 UTC;61036540;4317360;6.61;7528;2392964;1516796;2.32;1281872;2285768;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-30 UTC;-1;17.12;0.00;1.50;0.25;0.00;81.12
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-31 UTC;3776.00;3768.00;8.00;673184.00;1264.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-31 UTC;168296.00;316.00;128205.00;0.00;73338.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-31 UTC;60639464;4714436;7.21;7924;2560372;1858744;2.84;1530988;2432452;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-31 UTC;-1;21.50;0.00;3.88;4.88;0.00;69.75
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-32 UTC;4.00;4.00;0.00;512.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-32 UTC;128.00;0.00;39944.00;0.00;75236.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-32 UTC;60794060;4559840;6.98;7924;2560704;1413484;2.16;1374820;2433700;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-32 UTC;-1;12.48;0.00;1.25;0.00;0.00;86.27
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-33 UTC;371.00;371.00;0.00;67456.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-33 UTC;16864.00;0.00;33786.00;0.00;82658.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-33 UTC;60953336;4400564;6.73;8064;2575248;1405284;2.15;1214568;2436532;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-33 UTC;-1;16.81;0.00;1.38;0.25;0.00;81.56
