# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-06 UTC;24803.00;24803.00;0.00;198424.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-06 UTC;99220.00;0.00;52205.00;24805.00;1281.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-06 UTC;62397944;2955956;4.52;15080;2020668;1340916;2.05;158400;1539436;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-06 UTC;-1;8.82;0.00;4.91;76.32;0.00;9.95
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-07 UTC;24011.00;24011.00;0.00;192088.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-07 UTC;96048.00;0.00;48159.00;24012.00;491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-07 UTC;62301720;3052180;4.67;15080;2116976;1340916;2.05;158400;1635692;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-07 UTC;-1;6.74;0.00;4.02;77.95;0.00;11.28
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-08 UTC;23074.00;23074.00;0.00;184592.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-08 UTC;92212.00;0.00;48086.00;23053.00;1142.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-08 UTC;62209456;3144444;4.81;15080;2209256;1340916;2.05;158412;1728468;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-08 UTC;-1;6.49;0.00;3.77;74.03;0.00;15.71
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-09 UTC;22354.00;22354.00;0.00;178832.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-09 UTC;89488.00;0.00;44875.00;22372.00;491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-09 UTC;62120548;3233352;4.95;15080;2298640;1340916;2.05;158412;1817424;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-09 UTC;-1;7.22;0.00;3.35;73.84;0.00;15.59
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-10 UTC;20200.00;20198.00;2.00;161584.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-10 UTC;80804.00;4.00;42331.00;20201.00;1056.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-10 UTC;62039080;3314820;5.07;15080;2380068;1340916;2.05;158436;1898252;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-10 UTC;-1;6.88;0.00;3.95;71.08;0.00;18.09
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-11 UTC;23257.00;23257.00;0.00;186056.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-11 UTC;93028.00;0.00;46651.00;23257.00;491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-11 UTC;61946576;3407324;5.21;15080;2472812;1340916;2.05;158420;1991748;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-11 UTC;-1;8.37;0.00;4.18;73.76;0.00;13.69
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-12 UTC;9778.00;9704.00;74.00;77632.00;1648.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-12 UTC;38664.00;400.00;21983.00;9692.00;1452.00;0.00;0.00;158.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-12 UTC;61906524;3447376;5.27;14988;2511180;1340916;2.05;158432;2026904;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-12 UTC;-1;2.00;0.00;22.27;33.07;0.00;42.67
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-13 UTC;26271.00;26261.00;10.00;210248.00;112.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-13 UTC;105128.00;28.00;52618.00;26239.00;26869.00;0.00;0.00;26376.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-13 UTC;61907888;3446012;5.27;14988;2510624;1340916;2.05;159596;2028272;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-13 UTC;-1;7.05;0.00;6.92;73.11;0.00;12.92
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-14 UTC;28856.00;28856.00;0.00;231456.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-14 UTC;115552.00;0.00;59609.00;28846.00;29974.00;0.00;0.00;28907.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-14 UTC;61908136;3445764;5.27;14988;2510172;1340928;2.05;160820;2026472;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-14 UTC;-1;8.91;0.00;7.00;74.30;0.00;9.80
sasa.cl.cam.ac.uk;1;2013-03-25 07-36-15 UTC;20529.00;20529.00;0.00;164232.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-15 UTC;82176.00;0.00;41223.00;20544.00;21008.00;0.00;0.00;20515.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-15 UTC;61907268;3446632;5.27;14988;2510840;1340928;2.05;162492;2025016;sasa.cl.cam.ac.uk;1;2013-03-25 07-36-15 UTC;-1;6.43;0.00;3.86;75.19;0.00;14.52
