# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-02 UTC;374.00;374.00;0.00;89920.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-02 UTC;44820.00;0.00;10451.00;1.00;1504.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-02 UTC;61016568;4337332;6.64;10500;2446628;1441460;2.21;1286924;2308508;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-02 UTC;-1;14.75;0.00;0.62;1.38;0.00;83.25
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-03 UTC;1029.00;1007.00;22.00;243712.00;200.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-03 UTC;121856.00;36.00;31796.00;0.00;34558.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-03 UTC;60903068;4450832;6.81;10648;2568716;1440604;2.20;1285108;2423884;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-03 UTC;-1;13.86;0.00;1.62;2.87;0.00;81.65
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-04 UTC;976.00;973.00;3.00;233576.00;24.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-04 UTC;116788.00;8.00;32159.00;0.00;35864.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-04 UTC;60802392;4551508;6.96;10776;2685672;1427356;2.18;1271920;2536208;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-04 UTC;-1;13.16;0.00;1.25;2.51;0.00;83.08
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-05 UTC;902.00;902.00;0.00;218752.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-05 UTC;109376.00;0.00;29408.00;0.00;30778.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-05 UTC;60697048;4656852;7.13;10884;2794300;1432140;2.19;1277844;2635872;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-05 UTC;-1;13.52;0.00;3.75;2.25;0.00;80.48
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-06 UTC;390.00;390.00;0.00;93176.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-06 UTC;46588.00;0.00;12159.00;0.00;31773.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-06 UTC;60732344;4621556;7.07;10940;2841980;1434660;2.20;1207880;2670120;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-06 UTC;-1;13.64;0.00;1.00;0.88;0.00;84.48
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-07 UTC;1100.00;1065.00;35.00;254352.00;11088.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-07 UTC;127164.00;2772.00;23993.00;0.00;5071.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-07 UTC;60527904;4825996;7.38;11108;2968244;1430560;2.19;1290420;2792416;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-07 UTC;-1;16.54;0.00;1.13;3.63;0.00;78.70
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-08 UTC;1428.00;1376.00;52.00;329512.00;484.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-08 UTC;164740.00;82.00;40829.00;0.00;32017.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-08 UTC;60329716;5024184;7.69;11328;3134316;1454376;2.23;1356900;2923100;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-08 UTC;-1;17.46;0.00;2.12;4.49;0.00;75.94
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-09 UTC;866.00;864.00;2.00;208240.00;4.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-09 UTC;104120.00;2.00;29368.00;0.00;31757.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-09 UTC;60231724;5122176;7.84;11464;3238804;1447360;2.21;1362840;3015368;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-09 UTC;-1;13.95;0.00;1.62;2.37;0.00;82.07
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-10 UTC;1063.00;1060.00;3.00;252288.00;24.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-10 UTC;126144.00;8.00;36648.00;0.00;33693.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-10 UTC;60093600;5260300;8.05;11688;3367064;1461012;2.24;1392052;3123548;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-10 UTC;-1;18.82;0.00;1.63;3.01;0.00;76.54
sasa.cl.cam.ac.uk;1;2013-03-26 23-20-11 UTC;1126.00;1119.00;7.00;267720.00;832.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-11 UTC;133860.00;416.00;37387.00;0.00;31056.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-11 UTC;59929320;5424580;8.30;11892;3503316;1489072;2.28;1447592;3231540;sasa.cl.cam.ac.uk;1;2013-03-26 23-20-11 UTC;-1;17.84;0.00;1.01;3.14;0.00;78.02
