# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-03 UTC;26819.00;26819.00;0.00;214552.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-03 UTC;107284.00;0.00;55895.00;26667.00;509.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-03 UTC;62294776;3059124;4.68;6832;2174324;1648832;2.52;144212;930640;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-03 UTC;-1;12.93;0.00;4.94;34.35;0.00;47.78
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-04 UTC;26897.00;26897.00;0.00;215176.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-04 UTC;107588.00;0.00;61138.00;26739.00;1405.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-04 UTC;62182476;3171424;4.85;7860;2279888;1648828;2.52;145488;1037568;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-04 UTC;-1;8.42;0.00;5.74;36.73;0.00;49.11
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-05 UTC;24738.00;24736.00;2.00;197888.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-05 UTC;98944.00;4.00;53000.00;24447.00;636.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-05 UTC;62076344;3277556;5.02;9428;2377380;1648828;2.52;146748;1134704;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-05 UTC;-1;4.16;0.00;5.32;36.36;0.00;54.16
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-06 UTC;26046.00;26046.00;0.00;208368.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-06 UTC;104192.00;0.00;54313.00;25456.00;1203.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-06 UTC;61962572;3391328;5.19;12008;2478920;1648832;2.52;148252;1238292;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-06 UTC;-1;8.38;0.00;5.41;34.41;0.00;51.80
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-07 UTC;28844.00;28844.00;0.00;230752.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-07 UTC;115360.00;0.00;58324.00;28834.00;486.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-07 UTC;61846880;3507020;5.37;12040;2593936;1648832;2.52;148604;1353024;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-07 UTC;-1;20.08;0.00;4.70;33.67;0.00;41.55
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-08 UTC;29081.00;29081.00;0.00;232648.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-08 UTC;116340.00;0.00;60872.00;29083.00;1148.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-08 UTC;61730140;3623760;5.54;12052;2710728;1648836;2.52;148868;1469612;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-08 UTC;-1;18.09;0.00;3.88;33.98;0.00;44.06
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-09 UTC;28480.00;28464.00;16.00;227712.00;224.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-09 UTC;113856.00;56.00;59830.00;28439.00;494.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-09 UTC;61614940;3738960;5.72;12200;2824840;1648836;2.52;149016;1582932;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-09 UTC;-1;15.64;0.00;5.00;35.77;0.00;43.59
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-10 UTC;27336.00;27336.00;0.00;218688.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-10 UTC;109340.00;0.00;62392.00;27361.00;1296.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-10 UTC;61504420;3849480;5.89;12248;2933856;1648836;2.52;149160;1692764;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-10 UTC;-1;13.21;0.00;4.79;37.31;0.00;44.69
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-11 UTC;26099.00;26097.00;2.00;208776.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-11 UTC;104392.00;4.00;59929.00;26182.00;578.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-11 UTC;61399768;3954132;6.05;12280;3038844;1648836;2.52;149160;1796696;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-11 UTC;-1;11.39;0.00;6.20;37.97;0.00;44.43
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-12 UTC;23678.00;23678.00;0.00;189424.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-12 UTC;94704.00;0.00;64137.00;24171.00;1522.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-12 UTC;61304164;4049736;6.20;12288;3133340;1648840;2.52;149752;1891700;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-12 UTC;-1;7.38;0.00;8.29;38.21;0.00;46.11
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-13 UTC;21892.00;21892.00;0.00;175136.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-13 UTC;87568.00;0.00;83738.00;23655.00;2046.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-13 UTC;61217064;4136836;6.33;12288;3220676;1648840;2.52;149500;1978432;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-13 UTC;-1;9.22;0.00;7.17;42.13;0.00;41.49
